央视频道,#genre#
CCTV-1综合,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226016/index.m3u8$1黑移1080
CCTV-1综合,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226559/index.m3u8$2黑移1080
CCTV-1综合,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226016/index.m3u8$3黑移1080
CCTV-1综合,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226016/index.m3u8$4黑移1080
CCTV-1综合,http://[2409:8087:5e01:34::20]:6610/zte_cms/00000001000000060000000000000131/index.m3u8?key=tvbox6_com$5琼移1080
CCTV-1综合,http://60.12.183.46:9901/tsfile/live/0001_1.m3u8$6浙联1080
CCTV-1综合,http://120.224.178.16:9901/tsfile/live/0013_1.m3u8$7鲁移1080
CCTV-1综合,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/umaichan111128bestvsmgsmg/index.m3u8?authinfo=9koodbn7mff%2f2bwjkgahuu6ffmrk8hl0ytyd5e5kwgewodiwmxbrlyyvy9x6zdknldiykojboujryoym5n7kg0yiystftufqtc14fzxhy5y$8鄂移1080
CCTV-1综合,https://node1.olelive.com:6443/live/cctv1hd/hls.m3u8$9OO1080
CCTV-1综合,http://123.187.46.90:65000/hls/27/index.m3u8$10辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/94/index.m3u8$11辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/101/index.m3u8$12辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/77/index.m3u8$13辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/1/index.m3u8$14辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/96/index.m3u8$15辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/85/index.m3u8$16辽电576
CCTV-1综合,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8$17川电360
CCTV-2财经,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226540/index.m3u8$1黑移1080
CCTV-2财经,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226540/index.m3u8$2黑移1080
CCTV-2财经,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221225588/index.m3u8$3黑移720
CCTV-2财经,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221225588/index.m3u8$4黑移720
CCTV-2财经,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221225588/index.m3u8$5黑移720
CCTV-2财经,http://[2409:8087:5e01:34::22]:6610/zte_cms/00000001000000060000000000000372/index.m3u8?key=tvbox6_com$6琼移1080
CCTV-2财经,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/umaichan5000036bestvsmgsmg/index.m3u8?authinfo=9koodbn7mff%2f2bwjkgahuspr1avni633ampcuzdn%2bfgvsarksxkwgzw7vfuuoj2qzherzosixvbl7i2qhfatha3k5wdwg1qhkzqalenv%2fbi$7鄂移1080
CCTV-2财经,https://node1.olelive.com:6443/live/cctv2hd/hls.m3u8$8OO1080
CCTV-2财经,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8$9豫电1080
CCTV-2财经,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8$10浙联1080
CCTV-2财经,http://14.29.76.30:9901/tsfile/live/1008_1.m3u8$11粤电576
CCTV-2财经,http://123.187.46.90:65000/hls/4/index.m3u8$12辽电576
CCTV-3综艺,http://[2409:8087:1a01:df::4077]/pltv/88888888/224/3221225799/index.m3u8$1黑移1080
CCTV-3综艺,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226021/index.m3u8$2黑移1080
CCTV-3综艺,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226021/index.m3u8$3黑移1080
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226021/index.m3u8$4黑移1080
CCTV-3综艺,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/umaichan638727c125355/index.m3u8?authinfo=9koodbn7mff%2f2bwjkgahusptz4ck5olfjaeye9dognmunneylcputky62j1wp5u04wipypkuq1ttur2lxvbl5yphqbjmla19x22td9buojk$5鄂移1080
CCTV-3综艺,http://60.12.183.46:9901/tsfile/live/0003_1.m3u8$6浙联1080
CCTV-3综艺,http://[2409:8087:5e01:34::20]:6610/zte_cms/00000001000000060000000000000088/index.m3u8?key=tvbox6_com$7琼移576
CCTV-3综艺,http://123.187.46.90:65000/hls/10/index.m3u8$8辽电576
CCTV-4中文国际,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226428/index.m3u8$1黑移1080
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226428/index.m3u8$2黑移1080
CCTV-4中文国际,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226007/index.m3u8$3黑移720
CCTV-4中文国际,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226007/index.m3u8$4黑移720
CCTV-4中文国际,http://[2409:8087:5e01:34::23]:6610/zte_cms/00000001000000060000000000000485/index.m3u8?key=tvbox6_com$5琼移1080
